"room_type","reviews","overall_satisfaction","accommodates","bedrooms","price"
"Private room",0,0,2,1,208
"Private room",17,5,2,1,136
"Private room",1,0,2,1,134
"Private room",26,5,2,1,172
"Private room",0,0,2,1,169
"Private room",0,0,2,1,211
"Private room",3,4,2,1,129
"Private room",5,4.5,2,1,129
"Private room",6,5,2,1,142
"Private room",3,4.5,5,2,122
"Private room",27,5,2,1,125
"Private room",20,5,3,1,150
"Private room",15,5,3,1,140
"Private room",8,4.5,2,1,155
"Private room",11,5,2,1,121
"Private room",10,5,4,2,106
"Private room",71,5,2,1,132
"Private room",57,5,2,1,138
"Private room",43,5,4,2,113
"Private room",19,4,2,1,120
"Private room",47,5,2,1,126
"Private room",34,5,2,1,93
"Private room",13,5,2,1,141
"Private room",26,4.5,2,1,116
"Private room",86,5,4,1,139
"Private room",0,0,4,1,97
"Private room",36,5,2,1,81
"Private room",26,5,2,1,85
"Private room",1,0,2,1,102
"Private room",0,0,1,1,127
"Private room",2,0,2,1,83
"Private room",0,0,2,1,88
"Private room",17,5,3,1,70
"Entire home/apt",12,5,2,1,147
"Entire home/apt",106,5,2,1,165
"Entire home/apt",80,5,2,1,123
"Entire home/apt",5,4,2,1,99
"Entire home/apt",49,4.5,2,1,96
"Entire home/apt",32,5,3,1,172
"Entire home/apt",69,5,2,1,154
"Entire home/apt",39,5,2,1,117
"Entire home/apt",6,5,3,1,78
"Entire home/apt",23,4.5,3,1,147
"Entire home/apt",9,5,5,3,90
"Entire home/apt",23,5,5,2,61
"Entire home/apt",136,5,2,0,83
"Entire home/apt",13,5,4,1,110
"Entire home/apt",31,4.5,4,1,124
"Entire home/apt",2,0,5,2,142
"Entire home/apt",0,0,6,2,116
"Entire home/apt",46,5,3,1,117
"Entire home/apt",102,5,2,1,110
"Entire home/apt",10,5,2,1,107
"Entire home/apt",3,5,2,1,128
"Entire home/apt",1,0,4,3,85
"Entire home/apt",7,5,4,2,86
"Entire home/apt",25,5,5,2,100
"Entire home/apt",8,4.5,2,1,71
"Entire home/apt",35,5,4,1,98
"Entire home/apt",19,4.5,4,2,87
"Entire home/apt",36,5,4,0,80
"Entire home/apt",17,4.5,6,1,79
"Entire home/apt",128,4.5,3,1,100
"Entire home/apt",0,0,3,1,150
"Entire home/apt",136,5,3,1,94
"Entire home/apt",76,5,5,2,162
"Entire home/apt",0,0,3,0,142
"Entire home/apt",95,5,4,2,136
"Entire home/apt",107,4.5,4,1,124
"Entire home/apt",100,5,4,1,81
"Entire home/apt",201,5,3,1,132
"Private room",7,5,2,1,107
"Private room",0,0,2,1,75
"Private room",0,0,2,1,120
"Private room",3,4.5,2,1,68
"Private room",0,0,2,1,124
"Private room",26,5,2,1,75
"Private room",55,5,2,1,131
"Private room",51,5,2,1,118
"Private room",10,4,2,1,87
"Private room",39,5,2,1,124
"Private room",3,4.5,4,1,98
"Private room",24,5,2,1,116
"Private room",23,5,2,1,98
"Private room",33,5,2,1,72
"Private room",26,5,2,1,86
"Private room",40,5,2,1,150
"Private room",0,0,2,1,93
"Private room",11,5,3,2,93
"Private room",4,5,2,1,71
"Private room",45,5,2,1,82
"Private room",25,5,3,1,128
"Private room",8,4.5,2,1,92
"Private room",7,5,4,2,123
"Private room",14,5,2,1,133
"Private room",77,5,2,1,129
"Private room",38,4.5,2,1,82
"Private room",1,0,6,2,74
"Private room",3,5,2,1,65
"Private room",6,5,4,1,95
"Private room",28,5,3,1,87
"Private room",11,5,2,1,67
"Private room",152,5,2,1,106
"Private room",65,5,5,2,127
"Private room",72,5,3,1,92
"Private room",116,5,2,1,104
"Private room",43,5,4,1,147
"Private room",106,5,2,1,123
"Private room",29,5,3,1,106
"Private room",60,5,2,1,78
"Private room",130,4.5,5,2,97
"Private room",110,5,2,1,66
"Private room",21,5,2,1,77
"Private room",100,5,2,1,89
"Private room",11,5,2,1,83
"Private room",49,5,2,1,104
"Private room",175,5,2,1,96
"Private room",14,4.5,2,0,126
"Private room",95,5,2,1,80
"Private room",44,5,4,2,99
"Private room",190,5,2,1,85
"Private room",15,5,2,1,81
"Private room",56,5,2,1,110
"Private room",23,5,2,1,77
"Private room",19,5,2,1,144
"Private room",65,5,2,1,97
"Private room",82,5,3,1,106
"Private room",55,5,4,2,136
"Private room",35,4.5,2,1,56
"Private room",8,4.5,2,1,70
"Private room",0,0,1,0,89
"Private room",23,4.5,2,1,80
"Private room",13,5,2,1,68
"Private room",2,0,2,1,114
"Private room",11,4.5,2,1,84
"Private room",6,4.5,2,2,87
"Private room",6,5,2,1,94
"Private room",3,5,2,1,113
"Private room",36,5,2,1,84
"Private room",178,5,2,1,88
"Private room",17,5,2,1,65
"Private room",12,5,2,1,89
"Private room",0,0,2,1,93
"Private room",1,0,2,1,70
"Private room",2,0,2,1,76
"Private room",49,4.5,4,1,95
"Private room",35,5,2,1,61
"Private room",30,5,4,1,68
"Private room",1,0,4,2,79
"Private room",30,5,4,1,83
"Private room",14,5,2,1,83
"Private room",1,0,2,1,87
"Private room",256,4.5,2,1,109
"Private room",179,5,2,1,66
"Private room",15,5,2,1,100
"Private room",143,5,2,2,82
"Private room",0,0,6,1,72
"Private room",264,5,2,1,107
"Private room",29,5,2,1,98
"Private room",244,4.5,2,1,64
"Private room",98,5,2,1,53
"Private room",0,0,2,1,69
"Private room",41,5,2,1,99
"Private room",160,5,2,1,76
"Private room",161,5,2,1,98
"Private room",1,0,2,1,94
"Private room",84,5,3,2,98
"Private room",3,5,2,1,87
"Private room",0,0,2,1,56
"Private room",196,5,2,1,84
"Private room",36,4.5,4,1,64
"Private room",2,0,2,1,61
"Private room",147,5,2,1,68
"Private room",18,5,2,1,64
"Private room",58,5,2,1,64
"Private room",55,4.5,2,1,104
"Private room",0,0,2,1,40
"Private room",20,5,1,1,57
"Private room",169,5,2,1,44
"Private room",13,5,4,1,53
"Private room",62,5,2,1,64
"Private room",5,5,3,1,79
"Private room",48,4.5,2,1,91
"Private room",0,0,2,1,47
"Private room",5,5,2,1,49
"Private room",26,4.5,2,1,54
"Private room",115,5,2,1,59
"Private room",79,5,2,1,70
"Private room",0,0,2,1,57
"Private room",132,5,3,1,51
"Private room",43,5,2,1,53
"Private room",0,0,2,0,49
"Private room",142,4.5,2,1,58
"Private room",64,4.5,2,1,52
"Private room",26,5,2,1,33
"Private room",52,5,3,1,73
"Private room",129,5,2,1,41
"Private room",13,5,1,1,63
"Private room",14,5,2,1,52
"Private room",198,5,2,1,67
"Private room",0,0,2,1,45
"Private room",2,0,2,0,68
"Private room",9,5,2,1,49
"Private room",59,5,2,1,75
"Private room",31,4.5,4,1,69
"Private room",0,0,1,1,76
"Private room",104,4.5,2,1,46
"Private room",31,5,2,1,94
"Private room",15,5,2,1,52
"Private room",26,5,2,1,53
"Private room",20,5,2,1,81
"Private room",37,5,2,1,59
"Private room",12,5,4,2,51
"Private room",28,4.5,2,1,51
"Private room",25,5,2,1,80
"Private room",95,5,2,1,64
"Private room",63,4.5,2,1,66
"Private room",57,5,2,1,66
"Private room",24,5,2,1,69
"Private room",82,5,2,1,43
"Private room",64,5,2,1,84
"Private room",23,4.5,2,0,51
"Private room",143,5,2,1,60
"Private room",58,4.5,2,1,65
"Private room",114,4.5,4,1,46
"Private room",163,5,2,1,57
"Private room",71,5,4,1,56
"Private room",237,5,4,1,47
"Private room",163,5,2,1,47
"Private room",25,5,2,1,67
